pairID,minute,touching,treatment,hive
A_B19,36,0,Ringers,Garden
A_B20,36,1,Ringers,Garden
A_B21,36,0,Ringers,Garden
A_B22,36,1,Ringers,Garden
A_B23,36,0,Ringers,Garden
A_B24,36,1,Ringers,Garden
A_B25,36,1,Ringers,Garden
A_B26,36,1,Ringers,Garden
A_B27,36,1,Ringers,Garden
A_B28,36,1,Ringers,Garden
A_B29,36,0,Ringers,Garden
A_B30,36,1,Ringers,Garden
A_B31,36,0,Ringers,Garden
A_B32,36,1,Ringers,Garden
A_B33,36,1,Ringers,Garden
A_B34,36,1,Ringers,Garden
A_B35,36,1,Ringers,Garden
A_B36,36,0,Ringers,Garden
A_B37,36,1,Ringers,Garden
A_B38,36,1,Ringers,Garden
A_C1,36,1,LPS,Garden
A_C2,36,1,LPS,Garden
A_C3,36,0,LPS,Garden
A_C4,36,0,LPS,Garden
A_C5,36,0,LPS,Garden
A_C6,36,1,LPS,Garden
A_C7,36,1,LPS,Garden
A_C8,36,1,LPS,Garden
A_C9,36,1,LPS,Garden
A_C10,36,1,LPS,Garden
A_C11,36,1,LPS,Garden
A_C12,36,1,LPS,Garden
A_C13,36,1,LPS,Garden
A_C14,36,1,LPS,Garden
A_C15,36,1,LPS,Garden
A_C16,36,1,LPS,Garden
A_C17,36,1,LPS,Garden
A_C18,36,1,LPS,Garden
A_C19,36,1,LPS,Garden
A_C20,36,1,LPS,Garden
A_C21,36,1,LPS,Garden
A_C22,36,0,LPS,Garden
A_C23,36,1,LPS,Garden
A_C24,36,0,LPS,Garden
A_C25,36,1,LPS,Garden
A_C26,36,0,LPS,Garden
A_C27,36,0,LPS,Garden
A_C28,36,1,LPS,Garden
A_C29,36,1,LPS,Garden
A_C30,36,0,LPS,Garden
A_C31,36,1,LPS,Garden
A_C32,36,0,LPS,Garden
A_C33,36,1,LPS,Garden
A_C34,36,1,LPS,Garden
A_C35,36,1,LPS,Garden
A_C36,36,1,LPS,Garden
A_C37,36,1,LPS,Garden
A_C38,36,0,LPS,Garden
A_D1,36,1,LPS,Garden
A_D2,36,0,LPS,Garden
A_D3,36,1,LPS,Garden
A_D4,36,0,LPS,Garden
A_D5,36,0,LPS,Garden
A_D6,36,1,LPS,Garden
A_D7,36,1,LPS,Garden
A_D8,36,0,LPS,Garden
A_D9,36,1,LPS,Garden
A_D10,36,1,LPS,Garden
A_D11,36,1,LPS,Garden
A_D12,36,1,LPS,Garden
A_D13,36,1,LPS,Garden
A_D14,36,1,LPS,Garden
A_D15,36,0,LPS,Garden
A_D16,36,0,LPS,Garden
A_D17,36,1,LPS,Garden
A_D18,36,1,LPS,Garden
A_D19,36,0,LPS,Garden
A_D20,36,1,LPS,Garden
A_D21,36,1,LPS,Garden
A_D22,36,1,LPS,Garden
A_D23,36,1,LPS,Garden
A_D24,36,1,LPS,Garden
A_D25,36,0,LPS,Garden
A_D26,36,1,LPS,Garden
A_D27,36,1,LPS,Garden
A_D28,36,1,LPS,Garden
A_D29,36,1,LPS,Garden
A_D30,36,0,LPS,Garden
A_D31,36,1,LPS,Garden
A_D32,36,0,LPS,Garden
A_A1,38,1,Ringers,Garden
A_A2,38,1,Ringers,Garden
A_A3,38,1,Ringers,Garden
A_A4,38,0,Ringers,Garden
A_A5,38,1,Ringers,Garden
A_A6,38,1,Ringers,Garden
A_A7,38,1,Ringers,Garden
A_A8,38,1,Ringers,Garden
A_A9,38,0,Ringers,Garden
A_A10,38,1,Ringers,Garden
A_A11,38,1,Ringers,Garden
A_A12,38,1,Ringers,Garden
A_A13,38,1,Ringers,Garden
A_A14,38,0,Ringers,Garden
A_A15,38,0,Ringers,Garden
A_A16,38,1,Ringers,Garden
A_A17,38,1,Ringers,Garden
A_A18,38,0,Ringers,Garden
A_A19,38,1,Ringers,Garden
A_A20,38,1,Ringers,Garden
A_A21,38,1,Ringers,Garden
A_A22,38,0,Ringers,Garden
A_A23,38,1,Ringers,Garden
A_A24,38,1,Ringers,Garden
A_A25,38,0,Ringers,Garden
A_A26,38,1,Ringers,Garden
